a0,b1,c2,d3,e4,f5,g6,f7,g8,h9,i10,j11,k12,l13,m14,n15,o16,p17,q18,r19,s20,t21,u22,v23
8,reticle,holo,mc/mtl_t6_attach_optic_holo_reticle_zm_13,,,,,,,,,,,,,,,,,,,,
9,reticle,holo,mc/mtl_t6_attach_optic_holo_reticle_zm_14,,,,,,,,,,,,,,,,,,,,
10,reticle,holo,mc/mtl_t6_attach_optic_holo_reticle_zm_16,,,,,,,,,,,,,,,,,,,,
11,reticle,holo,mc/mtl_t6_attach_optic_holo_reticle_zm_17,,,,,,,,,,,,,,,,,,,,
12,reticle,holo,mc/mtl_t6_attach_optic_holo_reticle_zm_18,,,,,,,,,,,,,,,,,,,,
13,reticle,holo,mc/mtl_t6_attach_optic_holo_reticle_zm_19,,,,,,,,,,,,,,,,,,,,
14,reticle,holo,mc/mtl_t6_attach_optic_holo_reticle_zm_20,,,,,,,,,,,,,,,,,,,,
15,reticle,holo,mc/mtl_t6_attach_optic_holo_reticle_zm_21,,,,,,,,,,,,,,,,,,,,
16,reticle,holo,mc/mtl_t6_attach_optic_holo_reticle_10,,,,,,,,,,,,,,,,,,,,
0,reticle,longbreath,mc/mtl_t6_attach_optic_holo_reticle,,,,,,,,,,,,,,,,,,,,
1,reticle,longbreath,mc/mtl_t6_attach_optic_holo_reticle_zm_03,,,,,,,,,,,,,,,,,,,,
2,reticle,longbreath,mc/mtl_t6_attach_optic_holo_reticle_zm_05,,,,,,,,,,,,,,,,,,,,
3,reticle,longbreath,mc/mtl_t6_attach_optic_holo_reticle_zm_06,,,,,,,,,,,,,,,,,,,,
4,reticle,longbreath,mc/mtl_t6_attach_optic_holo_reticle_zm_07,,,,,,,,,,,,,,,,,,,,
5,reticle,longbreath,mc/mtl_t6_attach_optic_holo_reticle_zm_10,,,,,,,,,,,,,,,,,,,,
6,reticle,longbreath,mc/mtl_t6_attach_optic_holo_reticle_zm_11,,,,,,,,,,,,,,,,,,,,
7,reticle,longbreath,mc/mtl_t6_attach_optic_holo_reticle_zm_12,,,,,,,,,,,,,,,,,,,,
8,reticle,longbreath,mc/mtl_t6_attach_optic_holo_reticle_zm_13,,,,,,,,,,,,,,,,,,,,
9,reticle,longbreath,mc/mtl_t6_attach_optic_holo_reticle_zm_14,,,,,,,,,,,,,,,,,,,,
10,reticle,longbreath,mc/mtl_t6_attach_optic_holo_reticle_zm_16,,,,,,,,,,,,,,,,,,,,
11,reticle,longbreath,mc/mtl_t6_attach_optic_holo_reticle_zm_17,,,,,,,,,,,,,,,,,,,,
12,reticle,longbreath,mc/mtl_t6_attach_optic_holo_reticle_zm_18,,,,,,,,,,,,,,,,,,,,
13,reticle,longbreath,mc/mtl_t6_attach_optic_holo_reticle_zm_19,,,,,,,,,,,,,,,,,,,,
14,reticle,longbreath,mc/mtl_t6_attach_optic_holo_reticle_zm_20,,,,,,,,,,,,,,,,,,,,
15,reticle,longbreath,mc/mtl_t6_attach_optic_holo_reticle_zm_21,,,,,,,,,,,,,,,,,,,,
16,reticle,longbreath,mc/mtl_t6_attach_optic_holo_reticle_10,,,,,,,,,,,,,,,,,,,,
0,reticle,combo_up,mc/mtl_t6_attach_optic_combo_reticle_up,,,,,,,,,,,,,,,,,,,,
1,reticle,combo_up,mc/mtl_t6_attach_optic_combo_reticle_up_zm,,,,,,,,,,,,,,,,,,,,
0,reticle,combo_down,mc/mtl_t6_attach_optic_combo_reticle_down,,,,,,,,,,,,,,,,,,,,
1,reticle,combo_down,mc/mtl_t6_attach_optic_combo_reticle_down_zm,,,,,,,,,,,,,,,,,,,,
22,camo,camo_rainbowgrid,1,31,,,,,,,,,,,,,,,,,,,
23,camo,camo_goldgrid,1,30,,,,,,,,,,,,,,,,,,,
24,camo,camo_forestfire,1,29,,,,,,,,,,,,,,,,,,,
25,camo,camo_borealis,1,28,,,,,,,,,,,,,,,,,,,
26,camo,camo_deepglacier,1,27,,,,,,,,,,,,,,,,,,,
27,camo,camo_data,1,26,,,,,,,,,,,,,,,,,,,
28,camo,camo_aggro,1,25,,,,,,,,,,,,,,,,,,,
29,camo,camo_cosmo,1,24,,,,,,,,,,,,,,,,,,,
30,camo,camo_lightning,1,23,,,,,,,,,,,,,,,,,,,
31,camo,camo_shapes,1,22,,,,,,,,,,,,,,,,,,,
32,camo,camo_blueice,1,21,,,,,,,,,,,,,,,,,,,
33,camo,camo_cyberpunk,1,20,,,,,,,,,,,,,,,,,,,
34,camo,camo_interstellar,1,19,,,,,,,,,,,,,,,,,,,
35,camo,camo_crystallize,1,18,,,,,,,,,,,,,,,,,,,
36,camo,camo_darkmatter,1,17,,,,,,,,,,,,,,,,,,,
37,camo,camo_plasma,1,16,,,,,,,,,,,,,,,,,,,
38,camo,camo_mystic,1,15,,,,,,,,,,,,,,,,,,,
39,camo,mtl_weapon_camo_zombies,1,4,,,,,,,,,,,,,,,,,,,
40,camo,camo_zmb_dlc2,1,9,,,,,,,,,,,,,,,,,,,
41,camo,camo_magma,1,12,,,,,,,,,,,,,,,,,,,
42,camo,camo_toxic,1,14,,,,,,,,,,,,,,,,,,,
43,camo,camo_doll_nikolai,0,33,,,,,,,,,,,,,,,,,,,
44,camo,camo_doll_dempsey,0,32,,,,,,,,,,,,,,,,,,,
45,camo,camo_zmb_dlc4,1,13,,,,,,,,,,,,,,,,,,,
46,camo,camo_doll_richtofen,0,34,,,,,,,,,,,,,,,,,,,
47,camo,camo_doll_takeo,0,35,,,,,,,,,,,,,,,,,,,
48,camo,camo_zmb_crystal,1,14,,,,,,,,,,,,,,,,,,,
49,camo,camo_cybertron,1,10,,,,,,,,,,,,,,,,,,,
50,camo,camo_diamond,1,3,,,,,,,,,,,,,,,,,,,
51,camo,camo_bacon,1,6,,,,,,,,,,,,,,,,,,,
52,camo,camo_m1911,1,6,,,,,,,,,,,,,,,,,,,
